email_text,category
My internet connection is not working.,Technical Support
Please update my billing information.,Billing Issues
I want to reset my password.,Account Management
I can't access my account.,Account Management
My card was charged twice.,Billing Issues
My internet is too slow.,Technical Support
I forgot my password.,Account Management
Please cancel my subscription.,Billing Issues
The website isn't loading on my browser.,Technical Support
My invoice amount is incorrect.,Billing Issues
Change my registered email.,Account Management
My video call keeps disconnecting.,Technical Support
I need help with a payment failure.,Billing Issues
Update my phone number on my account.,Account Management
The app crashes when I open it.,Technical Support
Double billing issue this month.,Billing Issues
Reset two-factor authentication.,Account Management
I’m unable to send emails.,Technical Support
Charge was made without my consent.,Billing Issues
Transfer my account to a new email.,Account Management
Live chat support is not working.,Technical Support
There’s an unknown charge on my card.,Billing Issues
Delete my account permanently.,Account Management
Sound is not working during calls.,Technical Support
Requesting refund for overcharge.,Billing Issues
Need to change security questions.,Account Management
App doesn’t update automatically.,Technical Support
I didn’t receive my invoice.,Billing Issues
Set a new username for my account.,Account Management
My screen freezes during meetings.,Technical Support
Late fee was applied by mistake.,Billing Issues
Change account password.,Account Management
Microphone isn’t working.,Technical Support
Subscription was renewed without notice.,Billing Issues
Help me recover my account.,Account Management
Camera not detected in app.,Technical Support
Please explain this month’s charges.,Billing Issues
Enable two-step verification.,Account Management
I'm facing frequent disconnections.,Technical Support
I was billed after cancellation.,Billing Issues
Update my contact preferences.,Account Management
Can’t hear anything on the app.,Technical Support
Need a breakdown of my billing.,Billing Issues
Unlock my suspended account.,Account Management
Download keeps failing.,Technical Support
Incorrect billing cycle.,Billing Issues
Add backup email to my account.,Account Management
Error 403 on website.,Technical Support
Why was I charged extra this month?,Billing Issues
Login attempt blocked.,Account Management
Wi-Fi keeps dropping.,Technical Support
Dispute a recent transaction.,Billing Issues
Modify my user credentials.,Account Management
Video quality is poor.,Technical Support
Payment failed multiple times.,Billing Issues
Add alternative contact number.,Account Management
App shows black screen.,Technical Support
Missed promotional discount.,Billing Issues
Remove old devices from my account.,Account Management
Link not opening in email.,Technical Support
Need invoice for tax filing.,Billing Issues
Change my account name.,Account Management
App not supported on my device.,Technical Support
Subscription shows wrong plan.,Billing Issues
Update my profile picture.,Account Management
Device compatibility issue.,Technical Support
Please apply discount code.,Billing Issues
Unlink social account.,Account Management
My account was hacked.,Account Management
Help me reset my PIN.,Account Management
No audio in webinars.,Technical Support
Duplicate charges on my statement.,Billing Issues
I want to merge two profiles.,Account Management
Can’t connect to the server.,Technical Support
I was not notified before charge.,Billing Issues
How to delete saved cards?,Account Management
Mobile app isn’t responding.,Technical Support
Please waive late fee.,Billing Issues
Change my default language.,Account Management
App logs me out frequently.,Technical Support
Service is down in my area.,Technical Support
Explain prorated charge.,Billing Issues
Need email confirmation of payment.,Billing Issues
My account is locked.,Account Management
Restarting app doesn’t help.,Technical Support
Refund still not processed.,Billing Issues
I want to downgrade my plan.,Account Management
Constant buffering on stream.,Technical Support
I didn’t get signup bonus.,Billing Issues
Link another email to my account.,Account Management
App crashes after update.,Technical Support
Cancel trial period.,Billing Issues
Restore deleted account.,Account Management
Keyboard not responding in app.,Technical Support
Unable to change billing address.,Billing Issues
Can’t enable notifications.,Account Management
No support for my browser.,Technical Support
Bill amount exceeds quoted price.,Billing Issues
Deactivate automatic renewal.,Account Management
DNS error while connecting.,Technical Support
Paid but account not upgraded.,Billing Issues
Turn off promotional emails.,Account Management
Service unavailable error.,Technical Support
Charge reversal request.,Billing Issues
Change email notification settings.,Account Management
Audio-video sync issues.,Technical Support
Wrong date on invoice.,Billing Issues
Request to anonymize account data.,Account Management
App freezes after login.,Technical Support
Old charges reappeared.,Billing Issues
Remove expired credit card.,Account Management
Download speed is too slow.,Technical Support
Incorrect tax calculation.,Billing Issues
Change my username.,Account Management
Login screen stuck.,Technical Support
Why was GST added?,Billing Issues
Request to close account.,Account Management
WiFi keeps reconnecting.,Technical Support
My billing period changed.,Billing Issues
Need verification code.,Account Management
Service not working on weekend.,Technical Support
Apply promotional voucher.,Billing Issues
Update recovery options.,Account Management
App interface is buggy.,Technical Support
Charge for unused service.,Billing Issues
Unable to edit profile.,Account Management
Blank screen after login.,Technical Support
Overcharged for current cycle.,Billing Issues
Setup parental control.,Account Management
Notification sound not working.,Technical Support
Delay in bill generation.,Billing Issues
Account not syncing.,Account Management
Feature not available in my region.,Technical Support
Unrecognized transaction on bill.,Billing Issues
Change country in my profile.,Account Management
